ods_type_activite|categorie|commune|siret|Nom|numero_inspection|geores|filtre|date_inspection|code_postal|evaluation|adresse|agrement|lat|lon
Autres|Restaurant|Parranquet|40091297800014|PIMOUGUET MARIE|22-069256-1|[44.653286, 0.809765]|Restaurant|2022-08-10T02:00:00+02:00|47210|Très satisfaisant|Moulin de Mandassagne||44.653286|0.809765
Autres|Restaurant|Carcès|85400447000019|LA REGALADE|22-052428-1|[43.477003, 6.185317]|Restaurant|2022-07-05T02:00:00+02:00|83570|Satisfaisant|31 RUE MARECHAL JOFFRE||43.477003|6.185317
Autres|Restaurant|Douai|84360742500017|DELICES DE DOUAI|22-052178-1|[50.371763, 3.087972]|Restaurant|2022-07-01T02:00:00+02:00|59500|Satisfaisant|40 RUE DURUTTE||50.371763|3.087972
Autres|Restaurant|Paris 18e  Arrondissement|88177710600017|TANDOOR NAAN FACTORY|22-017242-1|[48.896168, 2.33898]|Restaurant|2022-03-09T01:00:00+01:00|75018|Satisfaisant|77 RUE DU POTEAU||48.896168|2.33898
Autres|Restauration collective|Charleville-Mézières|78034983300332|MUTUALITE FRANCAISE CHAMPAGNE ARDENNE SSAM|22-102268-1|[49.764281, 4.708495]|Restauration collective|2022-12-20T01:00:00+01:00|08000|Très satisfaisant|28 rue LEON BLUM|08105004|49.764281|4.708495
Autres|Restauration collective|Ménestreau-en-Villette|21910534300012|MAIRIE COMMUNE DE SACLAY|22-067912-1|[47.702192, 2.025343]|Restauration collective|2022-08-24T02:00:00+02:00|45240|Très satisfaisant|2915||47.702192|2.025343
Autres|Restauration collective|Saint-Denis|19930125000015|LYCEE POLYVALENT PAUL ELUARD|22-100949-1|[48.941297, 2.364487]|Restauration collective|2022-12-06T01:00:00+01:00|93200|A améliorer|15 avenue Jean Moulin||48.941297|2.364487
Autres|Restaurant|Alençon|88029402000016|DELICE DONER|22-015593-1|[48.422647, 0.089546]|Restaurant|2022-03-03T01:00:00+01:00|61000|Satisfaisant|30 Avenue du Général Leclerc||48.422647|0.089546
Autres|Restaurant|Craon|91786488600010|EPHESE KEBAB|22-068078-1|[47.847617, -0.9504779999999999]|Restaurant|2022-08-28T02:00:00+02:00|53400|Très satisfaisant|1 PL DES HALLES||47.847617|-0.950478
Autres|Restauration collective|Paris 8e  Arrondissement|43484865100015|ASSOCIATION MADELEINE 2000|22-067900-1|[48.871018, 2.320699]|Restauration collective|2022-08-24T02:00:00+02:00|75008|Satisfaisant|14 RUE DE SURENE||48.871018|2.320699
Autres|Restauration collective|Saint-Barthélemy-de-Bellegarde|21240380200029|ECOLE PRIMAIRE PUBLIQUE|22-037727-1|[45.086449, 0.19666599999999998]|Restauration collective|2022-05-17T02:00:00+02:00|24700|Très satisfaisant|LE BOURG||45.086449|0.1966659999999999
Autres|Restauration collective|Aubervilliers|89758419900011|ALTERALIA SOLID'R|22-053189-1|[48.91085, 2.382188]|Restauration collective|2022-07-08T02:00:00+02:00|93300|Satisfaisant|43 RUE EDOUARD POISSON||48.91085|2.382188
